Image_Path,Classes
/home/suzana/Dokumente/uni/0_MA/MA/data/datasets/keywords/500/500/siba.1140.jpg,"['necktie', 'necktie', 'skirt', 'dress', 'hat', 'wheel', 'wheel', 'hat']"
/home/suzana/Dokumente/uni/0_MA/MA/data/datasets/keywords/500/500/siba.1078.jpg,"['boat', 'boat', 'boat', 'boat', 'boat']"
/home/suzana/Dokumente/uni/0_MA/MA/data/datasets/keywords/500/500/siba.3204.jpg,"['mast', 'coat', 'hat', 'coat', 'coat', 'coat', 'hat', 'hat', 'coat', 'hat', 'flag', 'coat', 'hat', 'hat', 'hat', 'coat', 'hat', 'hat', 'coat', 'hat', 'jacket', 'trousers', 'hat']"
/home/suzana/Dokumente/uni/0_MA/MA/data/datasets/keywords/500/500/siba.3082.jpg,"['necktie', 'button', 'necktie', 'belt', 'button', 'strap', 'hat', 'coat', 'button', 'belt_buckle', 'hat', 'hat', 'belt', 'boot', 'coat', 'coat', 'necktie', 'hat', 'hat', 'baby', 'glove', 'coat', 'necktie', 'button']"
/home/suzana/Dokumente/uni/0_MA/MA/data/datasets/keywords/500/500/vase.850-IMAGE.1.jpg,"['boat', 'boat', 'dress', 'dress', 'boat', 'skirt', 'headscarf', 'skirt']"
/home/suzana/Dokumente/uni/0_MA/MA/data/datasets/keywords/500/500/siba.3104.jpg,"['boot', 'boot', 'boot', 'coat', 'glove', 'camera', 'turkey_(bird)', 'sock', 'camera']"
/home/suzana/Dokumente/uni/0_MA/MA/data/datasets/keywords/500/500/vase.937-IMAGE.1.jpg,"['trousers', 'boat']"
/home/suzana/Dokumente/uni/0_MA/MA/data/datasets/keywords/500/500/siba.4048.jpg,"['coat', 'boot', 'manhole', 'coat', 'hat', 'coat', 'hat', 'coat', 'hat', 'boot', 'hat', 'coat', 'boot', 'coat', 'coat', 'coat', 'coat', 'boot', 'coat', 'coat', 'coat', 'coat', 'boot']"
/home/suzana/Dokumente/uni/0_MA/MA/data/datasets/keywords/500/500/vase.741-IMAGE.1.jpg,['umbrella']
/home/suzana/Dokumente/uni/0_MA/MA/data/datasets/keywords/500/500/siba.3127.jpg,"['coat', 'jacket']"
/home/suzana/Dokumente/uni/0_MA/MA/data/datasets/keywords/500/500/vase.1269-IMAGE.1.jpg,"['bathtub', 'hat']"
/home/suzana/Dokumente/uni/0_MA/MA/data/datasets/keywords/500/500/siba.3203.jpg,['bird']
/home/suzana/Dokumente/uni/0_MA/MA/data/datasets/keywords/500/500/siba.3107.jpg,"['mask', 'armor', 'belt', 'trousers', 'strap', 'handbag']"
/home/suzana/Dokumente/uni/0_MA/MA/data/datasets/keywords/500/500/siba.3103.jpg,"['motorcycle', 'camera', 'wheel', 'necktie', 'necktie', 'trousers']"
/home/suzana/Dokumente/uni/0_MA/MA/data/datasets/keywords/500/500/vase.1535-IMAGE.1.jpg,[]
/home/suzana/Dokumente/uni/0_MA/MA/data/datasets/keywords/500/500/siba.1059.jpg,"['sail', 'mast', 'bird', 'boat', 'boat', 'flag', 'pole', 'boat', 'boat']"
/home/suzana/Dokumente/uni/0_MA/MA/data/datasets/keywords/500/500/vase.7-IMAGE.1.jpg,"['hat', 'hat', 'boat']"
/home/suzana/Dokumente/uni/0_MA/MA/data/datasets/keywords/500/500/vase.956-IMAGE.1.jpg,"['button', 'button', 'bracelet', 'button', 'button']"
/home/suzana/Dokumente/uni/0_MA/MA/data/datasets/keywords/500/500/vase.954-IMAGE.1.jpg,"['button', 'button', 'button', 'button']"
/home/suzana/Dokumente/uni/0_MA/MA/data/datasets/keywords/500/500/siba.1058.jpg,"['flag', 'flagpole', 'banner', 'ski_pole', 'helmet', 'ski_pole', 'trousers']"
/home/suzana/Dokumente/uni/0_MA/MA/data/datasets/keywords/500/500/siba.4005.jpg,"['oar', 'oar', 'boat', 'oar']"
/home/suzana/Dokumente/uni/0_MA/MA/data/datasets/keywords/500/500/siba.4214.jpg,"['skirt', 'skirt', 'dress', 'airplane', 'skirt', 'skirt', 'coat', 'coat', 'bucket', 'propeller', 'skirt', 'pole', 'boot', 'necktie', 'umbrella', 'bench']"
/home/suzana/Dokumente/uni/0_MA/MA/data/datasets/keywords/500/500/siba.3102.jpg,"['boot', 'boot', 'belt', 'boot', 'boot', 'boot', 'coat', 'boot', 'handbag', 'hat', 'hat', 'coat', 'jacket', 'boot']"
/home/suzana/Dokumente/uni/0_MA/MA/data/datasets/keywords/500/500/vase.953-IMAGE.1.jpg,['button']
/home/suzana/Dokumente/uni/0_MA/MA/data/datasets/keywords/500/500/siba.1060.jpg,"['boat', 'boat', 'mast', 'mast', 'mast', 'boat', 'mast', 'mast', 'mast']"
/home/suzana/Dokumente/uni/0_MA/MA/data/datasets/keywords/500/500/siba.3191.jpg,"['flag', 'boat', 'coat', 'coat', 'coat', 'coat', 'flag', 'coat', 'coat', 'coat', 'hat', 'umbrella', 'coat', 'coat', 'hat', 'flag', 'hat', 'flag', 'coat', 'flag', 'coat', 'coat', 'coat', 'mast', 'coat', 'flag', 'coat', 'mast', 'hat', 'coat', 'handbag', 'hat', 'hat', 'hat', 'boot', 'coat', 'coat']"
/home/suzana/Dokumente/uni/0_MA/MA/data/datasets/keywords/500/500/siba.3106.jpg,"['telephone_pole', 'pole', 'streetlight']"
/home/suzana/Dokumente/uni/0_MA/MA/data/datasets/keywords/500/500/vase.955-IMAGE.1.jpg,['button']
/home/suzana/Dokumente/uni/0_MA/MA/data/datasets/keywords/500/500/vase.936-IMAGE.1.jpg,['boat']
/home/suzana/Dokumente/uni/0_MA/MA/data/datasets/keywords/500/500/siba.1073.jpg,"['boat', 'boat', 'boat', 'boat', 'oar', 'boat', 'pole', 'hat', 'oar', 'boat']"
/home/suzana/Dokumente/uni/0_MA/MA/data/datasets/keywords/500/500/siba.3105.jpg,"['bird', 'coat', 'baby']"
/home/suzana/Dokumente/uni/0_MA/MA/data/datasets/keywords/500/500/vase.2759-IMAGE.1.jpg,"['pole', 'umbrella', 'umbrella']"
/home/suzana/Dokumente/uni/0_MA/MA/data/datasets/keywords/500/500/siba.3500.jpg,"['hat', 'signboard', 'curtain', 'cabinet', 'hat', 'hat', 'hat']"
/home/suzana/Dokumente/uni/0_MA/MA/data/datasets/keywords/500/other/vase.801-IMAGE.1.jpg,['awning']
/home/suzana/Dokumente/uni/0_MA/MA/data/datasets/keywords/500/other/vase.395-IMAGE.1.jpg,"['button', 'button', 'button', 'glove', 'button', 'button', 'button', 'boot', 'button', 'button', 'dress', 'button', 'button', 'button', 'button', 'skirt', 'button', 'sock', 'button', 'skirt', 'button']"
/home/suzana/Dokumente/uni/0_MA/MA/data/datasets/keywords/500/other/vase.736-IMAGE.1.jpg,['button']
/home/suzana/Dokumente/uni/0_MA/MA/data/datasets/keywords/500/other/vase.594-IMAGE.1.jpg,"['necktie', 'button', 'button', 'button', 'sandal_(type_of_shoe)', 'button', 'trousers', 'trousers', 'boot']"
/home/suzana/Dokumente/uni/0_MA/MA/data/datasets/keywords/500/other/vase.270-IMAGE.1.jpg,"['dress', 'button', 'bridal_gown', 'dress']"
/home/suzana/Dokumente/uni/0_MA/MA/data/datasets/keywords/500/other/vase.703-IMAGE.1.jpg,"['sock', 'dress', 'trousers', 'dress']"
/home/suzana/Dokumente/uni/0_MA/MA/data/datasets/keywords/500/other/vase.786-IMAGE.1.jpg,[]
/home/suzana/Dokumente/uni/0_MA/MA/data/datasets/keywords/500/other/vase.598-IMAGE.1.jpg,"['sweater', 'flag']"
/home/suzana/Dokumente/uni/0_MA/MA/data/datasets/keywords/500/other/vase.117-IMAGE.1.jpg,"['button', 'button', 'button', 'veil', 'bridal_gown', 'button', 'dress', 'walking_cane', 'shower_curtain', 'belt', 'boot', 'button', 'boot']"
/home/suzana/Dokumente/uni/0_MA/MA/data/datasets/keywords/500/other/vase.712-IMAGE.1.jpg,"['baby', 'telephone_pole', 'coat', 'coat', 'baby']"
/home/suzana/Dokumente/uni/0_MA/MA/data/datasets/keywords/500/other/vase.142-IMAGE.1.jpg,[]
/home/suzana/Dokumente/uni/0_MA/MA/data/datasets/keywords/500/other/vase.346-IMAGE.1.jpg,"['earring', 'dress', 'dress']"
/home/suzana/Dokumente/uni/0_MA/MA/data/datasets/keywords/500/other/vase.791-IMAGE.1.jpg,[]
/home/suzana/Dokumente/uni/0_MA/MA/data/datasets/keywords/500/other/siba.3084.jpg,['hose']
/home/suzana/Dokumente/uni/0_MA/MA/data/datasets/keywords/500/other/vase.812-IMAGE.1.jpg,[]
/home/suzana/Dokumente/uni/0_MA/MA/data/datasets/keywords/500/other/vase.730-IMAGE.1.jpg,"['bow-tie', 'necktie', 'shirt']"
/home/suzana/Dokumente/uni/0_MA/MA/data/datasets/keywords/500/other/vase.924-IMAGE.1.jpg,"['necktie', 'button']"
/home/suzana/Dokumente/uni/0_MA/MA/data/datasets/keywords/500/other/vase.615-IMAGE.1.jpg,"['bow-tie', 'bow-tie', 'bow-tie', 'bow-tie', 'button', 'button', 'button', 'sweater', 'trousers', 'button', 'button', 'button', 'belt', 'sweater', 'sock', 'shoe', 'sweater', 'button', 'trousers', 'sock', 'sock', 'button', 'shoe', 'dress', 'sock']"
/home/suzana/Dokumente/uni/0_MA/MA/data/datasets/keywords/500/other/vase.48-IMAGE.1.jpg,"['necklace', 'dress_hat', 'dress_hat', 'button', 'dress_hat', 'glove', 'button', 'dress_hat', 'hat', 'handbag', 'scoreboard', 'hat', 'dress_hat', 'cowboy_hat', 'button', 'button', 'hat', 'bow-tie', 'bow-tie', 'hat', 'trousers', 'coat', 'cowboy_hat', 'dress_hat', 'glove', 'blackboard', 'dress_hat']"
/home/suzana/Dokumente/uni/0_MA/MA/data/datasets/keywords/500/other/vase.854-IMAGE.1.jpg,['necktie']
/home/suzana/Dokumente/uni/0_MA/MA/data/datasets/keywords/500/other/vase.54-IMAGE.1.jpg,"['pan_(for_cooking)', 'button', 'button', 'button']"
/home/suzana/Dokumente/uni/0_MA/MA/data/datasets/keywords/500/other/vase.51-IMAGE.1.jpg,"['button', 'dress', 'button', 'button', 'button', 'dress', 'button', 'bow-tie', 'button']"
/home/suzana/Dokumente/uni/0_MA/MA/data/datasets/keywords/500/other/vase.680-IMAGE.1.jpg,"['button', 'button', 'button', 'button', 'button']"
